k(1,0)	v3	v2	v1	c1	c2	c3
0	-71.06	-29.42	-0.00	69.58	298.23	502.57
0.05	-73.80	-28.40	-4.98	78.12	299.98	503.61
0.1	-76.79	-27.06	-13.58	98.23	305.18	506.69
0.15	-77.91	-29.95	-16.67	123.57	313.68	511.77
0.2	-79.21	-35.21	-15.29	151.47	325.24	518.78
0.25	-80.91	-39.20	-13.68	180.85	339.59	527.62
0.3	-82.90	-41.80	-12.85	211.16	356.41	538.20
0.35	-84.99	-43.54	-12.99	242.13	375.38	550.40
0.4	-87.07	-44.92	-14.14	273.55	396.17	564.09
0.45	-89.10	-46.32	-16.29	305.30	418.52	579.18
0.5	-91.12	-48.01	-19.37	337.29	442.17	595.54
0.55	-93.22	-50.16	-23.35	369.46	466.90	613.07
0.6	-95.49	-52.90	-28.17	401.74	492.54	631.66
0.65	-98.03	-56.29	-33.79	434.09	518.91	651.21
0.7	-100.93	-60.37	-40.17	466.48	545.90	671.64
0.75	-104.26	-65.18	-47.28	498.88	573.40	692.86
0.8	-108.09	-70.73	-55.08	531.27	601.31	714.78
0.85	-112.47	-77.01	-63.57	563.62	629.55	737.34
0.9	-117.44	-84.03	-72.71	595.92	658.07	760.47
0.95	-123.03	-91.78	-82.49	628.15	686.81	784.10
1	-129.27	-100.24	-92.89	660.30	715.72	808.17
